implementation,file,function,kind,start_line,source_lines,argument_count
CUDA/NIF,c_src/MLPClassifierNIF/CudaBackpropNif.cpp,model_resource_dtor,function,13,7,2
CUDA/NIF,c_src/MLPClassifierNIF/CudaBackpropNif.cpp,load_nif,function,21,15,3
CUDA/NIF,c_src/MLPClassifierNIF/CudaBackpropNif.cpp,get_int,function,37,4,3
CUDA/NIF,c_src/MLPClassifierNIF/CudaBackpropNif.cpp,get_double,function,42,4,3
CUDA/NIF,c_src/MLPClassifierNIF/CudaBackpropNif.cpp,get_int_list,function,47,25,3
CUDA/NIF,c_src/MLPClassifierNIF/CudaBackpropNif.cpp,get_float_list,function,73,28,3
CUDA/NIF,c_src/MLPClassifierNIF/CudaBackpropNif.cpp,make_float_list,function,102,9,3
CUDA/NIF,c_src/MLPClassifierNIF/CudaBackpropNif.cpp,badarg,function,112,8,2
CUDA/NIF,c_src/MLPClassifierNIF/CudaBackpropNif.cpp,new_model_nif,function,121,40,3
CUDA/NIF,c_src/MLPClassifierNIF/CudaBackpropNif.cpp,get_model,function,162,5,3
CUDA/NIF,c_src/MLPClassifierNIF/CudaBackpropNif.cpp,train_batch_nif,function,168,33,3
CUDA/NIF,c_src/MLPClassifierNIF/CudaBackpropNif.cpp,train_batch_binary_nif,function,202,36,3
CUDA/NIF,c_src/MLPClassifierNIF/CudaBackpropNif.cpp,predict_batch_nif,function,239,28,3
CUDA/NIF,c_src/MLPClassifierNIF/CudaBackpropNif.cpp,predict_batch_binary_nif,function,268,30,3
CUDA/NIF,c_src/MLPClassifierNIF/CudaBackpropNif.cpp,last_timings_nif,function,299,21,3
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIF.cu,CudaOk,function,12,10,2
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIF.cu,ElapsedUs,function,23,5,1
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIF.cu,DebugValueCount,function,29,9,0
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIF.cu,DebugBatchesPerEpoch,function,39,9,0
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIF.cu,PrintDebugValues,function,49,7,2
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIF.cu,CollectContiguousSamples,function,57,13,3
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIF.cu,PrintDebugSnapshot,function,71,15,7
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIF.cu,EnsureBatchCapacity,function,199,29,1
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIF.cu,TrainBatch,function,229,76,4
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIF.cu,Predict,function,306,42,2
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIF.cu,GetLastTimings,function,349,8,3
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIFDevice.cu,constante,function,6,2,1
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIFDevice.cu,ReLUDeriv,function,8,1,1
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIFDevice.cu,P,function,10,2,1
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIFDevice.cu,KernelUpdateWeights,kernel,13,14,8
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIFDevice.cu,KernelFit,kernel,28,95,6
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIFDevice.cu,KernelPredict,kernel,124,46,4
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIFDevice.cu,LaunchFitKernel,function,171,12,6
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIFDevice.cu,LaunchPredictKernel,function,184,10,4
CUDA/NIF,c_src/MLPClassifierNIF/MLPClassifierNIFDevice.cu,LaunchUpdateWeightsKernel,function,195,15,8
CUDA/NIF,libsrc/cuda/CudaNif.ex,load_nif,def,8,10,0
CUDA/NIF,libsrc/cuda/CudaNif.ex,new_model,def,18,4,3
CUDA/NIF,libsrc/cuda/CudaNif.ex,train_batch,def,22,11,0
CUDA/NIF,libsrc/cuda/CudaNif.ex,train_batch_binary,def,33,11,0
CUDA/NIF,libsrc/cuda/CudaNif.ex,predict_batch,def,44,9,0
CUDA/NIF,libsrc/cuda/CudaNif.ex,predict_batch_binary,def,53,9,0
CUDA/NIF,libsrc/cuda/CudaNif.ex,last_timings,def,62,4,1
CUDA/NIF,libsrc/cuda/Model.ex,new,def,2,4,1
CUDA/NIF,libsrc/cuda/Model.ex,load_train_batch,def,6,1,1
CUDA/NIF,libsrc/cuda/Model.ex,load_predict_batch,def,7,2,1
CUDA/NIF,libsrc/cuda/Model.ex,train_batch,def,9,12,4
CUDA/NIF,libsrc/cuda/Model.ex,predict_batch,def,21,5,3
CUDA/NIF,libsrc/cuda/Model.ex,predict_probabilities,def,26,10,3
CUDA/NIF,libsrc/cuda/Model.ex,train_epoch,def,36,26,4
CUDA/NIF,libsrc/cuda/Model.ex,evaluate_paths,def,62,14,3
CUDA/NIF,libsrc/cuda/Model.ex,predict_binary_probabilities,def,76,10,3
CUDA/NIF,libsrc/cuda/Model.ex,reduce_prefetched_batches,defp,86,2,5
CUDA/NIF,libsrc/cuda/Model.ex,reduce_prefetched_batches,defp,88,20,0
CUDA/NIF,libsrc/cuda/Model.ex,timed_read_raw_batch!,defp,108,5,2
CUDA/NIF,libsrc/cuda/Model.ex,record_load,defp,113,5,2
CUDA/NIF,libsrc/cuda/Model.ex,read_raw_train_batch!,defp,118,10,1
CUDA/NIF,libsrc/cuda/Model.ex,read_raw_predict_batch!,defp,128,10,1
CUDA/NIF,libsrc/cuda/Model.ex,read_batch_binaries!,defp,138,11,1
CUDA/NIF,libsrc/cuda/Model.ex,record_cuda_timings,defp,149,17,2
CUDA/NIF,libsrc/cuda/Model.ex,prob_to_class,defp,166,2,1
PolyHok,libsrc/polyhok/MLPClassifierDevice.ex,sigmoid,defd,10,6,1
PolyHok,libsrc/polyhok/MLPClassifierDevice.ex,relu,defd,16,12,1
PolyHok,libsrc/polyhok/MLPClassifierDevice.ex,zero_two_kernel,defk,28,17,4
PolyHok,libsrc/polyhok/MLPClassifierDevice.ex,apply_update_two_kernel,defk,45,30,8
PolyHok,libsrc/polyhok/MLPClassifierDevice.ex,train_batch_kernel,defk,75,123,0
PolyHok,libsrc/polyhok/MLPClassifierDevice.ex,predict_batch_kernel,defk,198,61,0
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,to_gpu_model_state,def,8,57,1
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,train_batch_state,def,65,21,3
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,train_binary_batch_state,def,86,14,3
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,predict_batch_state,def,100,6,2
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,predict_probabilities_batch_state,def,106,15,2
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,predict_binary_probabilities_batch_state,def,121,11,3
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,model_values,def,132,7,1
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,predict_gpu_batch,defp,139,34,4
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,train_gpu_batch,defp,173,62,5
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,debug_initial_snapshot,defp,235,7,1
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,debug_epoch_snapshot,defp,242,17,1
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,debug_snapshot,defp,259,16,3
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,debug_enabled?,defp,275,2,1
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,debug_value_count,defp,277,7,0
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,debug_batches_per_epoch,defp,284,7,0
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,gpu_values,defp,291,7,2
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,format_values,defp,298,4,1
PolyHok,libsrc/polyhok/MLPClassifierHost.ex,float_tensor,defp,302,6,2
PolyHok,libsrc/polyhok/Model.ex,new,def,2,6,1
PolyHok,libsrc/polyhok/Model.ex,load_train_batch,def,8,1,1
PolyHok,libsrc/polyhok/Model.ex,load_predict_batch,def,9,2,1
PolyHok,libsrc/polyhok/Model.ex,train_batch,def,11,6,4
PolyHok,libsrc/polyhok/Model.ex,predict_batch,def,17,6,3
PolyHok,libsrc/polyhok/Model.ex,predict_probabilities,def,23,6,3
PolyHok,libsrc/polyhok/Model.ex,train_epoch,def,29,14,4
PolyHok,libsrc/polyhok/Model.ex,evaluate_paths,def,43,2,3
PolyHok,libsrc/polyhok/Model.ex,evaluate_paths,def,45,23,3
PolyHok,libsrc/polyhok/Model.ex,predict_binary_probabilities,def,68,8,3
PolyHok,libsrc/polyhok/Model.ex,reduce_prefetched_batches,defp,76,2,5
PolyHok,libsrc/polyhok/Model.ex,reduce_prefetched_batches,defp,78,20,0
PolyHok,libsrc/polyhok/Model.ex,timed_read_raw_batch!,defp,98,5,2
PolyHok,libsrc/polyhok/Model.ex,record_load,defp,103,5,2
PolyHok,libsrc/polyhok/Model.ex,read_raw_train_batch!,defp,108,11,1
PolyHok,libsrc/polyhok/Model.ex,read_raw_predict_batch!,defp,119,12,1
PolyHok,libsrc/polyhok/Model.ex,read_batch_binaries!,defp,131,11,1
PolyHok,libsrc/polyhok/Model.ex,validate_size,defp,142,2,1
PolyHok,libsrc/polyhok/Model.ex,validate_size,defp,144,5,1
PolyHok,libsrc/polyhok/Model.ex,prob_to_class,defp,149,2,1
