epoch,cuda_bce,polyhok_bce,absolute_error,status
1,0.690109111438,0.690109117978,6.53999999e-09,OK
2,0.688296596409,0.688296594302,2.10700002e-09,OK
3,0.687246254402,0.687246252959,1.44300005e-09,OK
4,0.686415399052,0.686415406958,7.90599997e-09,OK
5,0.685682378922,0.685682384641,5.71899994e-09,OK
6,0.685002371283,0.685002381140,9.85699999e-09,OK
7,0.684363378350,0.684363371298,7.05200009e-09,OK
8,0.683760138532,0.683760142839,4.30699998e-09,OK
9,0.683186694848,0.683186702906,8.05800004e-09,OK
10,0.682632763203,0.682632773169,9.96599991e-09,OK
