implementation,metric,unit,samples,mean,median,standard_deviation,confidence_level,ci95_margin,ci95_lower,ci95_upper
cuda,application_total,ms,100,665459.765750,664687.972000,2969.346746,0.95,589.182815,664870.582935,666048.948565
cuda,batch_average,ms,100,24.287112,24.254091,0.103091,0.95,0.020455,24.266656,24.307567
cuda,batch_loading,ms,100,46731.577120,47675.060500,5439.513930,0.95,1079.317575,45652.259545,47810.894695
cuda,compilation,ms,100,8379.294680,8334.599000,440.554211,0.95,87.415513,8291.879167,8466.710193
cuda,cpu_gpu_transfer,ms,100,23845.973510,22125.290000,3681.894976,0.95,730.567842,23115.405668,24576.541352
cuda,epoch_average,ms,100,6549.575223,6541.954905,27.855750,0.95,5.527185,6544.048038,6555.102408
cuda,gpu_compute,ms,100,628787.817850,628756.273500,1118.559565,0.95,221.946485,628565.871365,629009.764335
cuda,gpu_cpu_transfer,ms,100,83.983820,75.548500,14.838266,0.95,2.944234,81.039586,86.928054
cuda,model_setup,ms,100,334.139060,328.342500,20.598932,0.95,4.087275,330.051785,338.226335
cuda,prediction_total,ms,100,2180.652760,2164.029000,123.950611,0.95,24.594490,2156.058270,2205.247250
cuda,training_total,ms,100,654957.522290,654195.490500,2785.575014,0.95,552.718516,654404.803774,655510.240806
polyhok,application_total,ms,100,717205.335740,718341.090000,5612.300386,0.95,1113.602156,716091.733584,718318.937896
polyhok,batch_average,ms,100,26.059807,26.114556,0.198007,0.95,0.039289,26.020519,26.099096
polyhok,batch_loading,ms,100,74124.280280,75957.080500,6286.016270,0.95,1247.282004,72876.998276,75371.562284
polyhok,compilation,ms,100,15552.569750,13450.261000,4315.554939,0.95,856.299727,14696.270023,16408.869477
polyhok,cpu_gpu_transfer,ms,100,31074.355810,29937.663500,3982.238269,0.95,790.162468,30284.193342,31864.518278
polyhok,epoch_average,ms,100,7020.619937,7034.449915,54.343279,0.95,10.782885,7009.837052,7031.402823
polyhok,gpu_compute,ms,100,671904.602220,670188.911000,4093.877057,0.95,812.314025,671092.288195,672716.916245
polyhok,gpu_cpu_transfer,ms,100,3910.232300,3890.737000,196.183208,0.95,38.927005,3871.305295,3949.159305
polyhok,model_setup,ms,100,430.113330,430.755500,23.007555,0.95,4.565198,425.548132,434.678528
polyhok,prediction_total,ms,100,6159.109410,6124.352000,289.136896,0.95,57.371033,6101.738377,6216.480443
polyhok,training_total,ms,100,702061.993710,703444.991500,5434.327870,0.95,1078.288548,700983.705162,703140.282258
